step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_fallback_stage,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
46,2.35,0.004990792787200021,0.07746298611164093,0.15327169001102448,0.3694814145565033,0.07746297866106033,0.35,2,0,0,0,0.6904526948928833,1.4514249563217163,19.37209701538086,0.6904526948928833,passthrough,9.894141377817922e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24250905165873549,0.004331778734922409
47,2.4000000000000004,-0.009274445494136238,0.07353060692548752,0.1472761183977127,0.37727609276771545,0.07353060692548752,0.35,2,0,0,0,0.6600787043571472,1.6840946674346924,17.839120864868164,0.6600787043571472,passthrough,9.486273854500176e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.24948142403291446,0.003057335503399372
48,2.45,-0.024659686835198917,0.06954926252365112,0.14250986278057098,0.38572004437446594,0.06954924762248993,0.35,2,0,0,0,0.6389936208724976,1.6879082918167114,15.667795181274414,0.6389936208724976,passthrough,9.88891130785882e-10,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.25727611863138783,0.004706108011305332
49,2.5,-0.04371489125773678,0.06550916284322739,0.13913559913635254,0.3949427306652069,0.06550916284322739,0.35,2,0,0,0,0.6139142513275146,1.5001469850540161,15.781781196594238,0.6139142513275146,passthrough,1.0479428071351167e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2657200172802259,0.002829483710229397
50,2.5500000000000003,-0.06728997673666642,0.061348479241132736,0.13735361397266388,0.4052450954914093,0.06134846806526184,0.35,2,0,0,0,0.5786728262901306,1.688786268234253,18.465599060058594,0.5786728262901306,passthrough,1.0974181334539622e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2749427271793262,0.0046577462926507
51,2.6,-0.08789344048656875,0.057197220623493195,0.13696135580539703,0.416488915681839,0.057197220623493195,0.35,2,0,0,0,0.563024640083313,1.5493252277374268,10.442684173583984,0.5630244612693787,filtered,2.5499006135476195e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.2852450776699126,0.0034241415560245514
52,2.6500000000000004,-0.10036408963529944,0.05315552279353142,0.13747456669807434,0.42855170369148254,0.05315554141998291,0.35,2,0,0,0,0.5562665462493896,1.3124701976776123,10.518675804138184,0.556266188621521,filtered,3.813545248124045e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.296488916746825,0.00294380821287632
53,2.7,-0.09944426331148129,0.049316637217998505,0.13813206553459167,0.4412541687488556,0.049316633492708206,0.35,2,0,0,0,0.5596081018447876,1.147658348083496,12.65552043914795,0.5596076846122742,filtered,4.3439358864982987e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3085517609694245,0.004084660671651363
54,2.75,-0.0890331616066578,0.04575258120894432,0.13840341567993164,0.4543870985507965,0.04575257748365402,0.35,2,0,0,0,0.5478605628013611,0.9234004020690918,21.80388832092285,0.5478605628013611,passthrough,1.2944324283629158e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3212541696631028,0.004672456532716751
55,2.8000000000000003,-0.0736201121585009,0.042503535747528076,0.13801169395446777,0.4677567780017853,0.04250354692339897,0.35,2,0,0,0,0.5295963883399963,0.8550563454627991,13.273114204406738,0.5295963883399963,passthrough,1.2465008659991651e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3343871092767518,0.005079295486211777
56,2.85,-0.05117912619107933,0.03954489156603813,0.13657858967781067,0.4813806116580963,0.03954489156603813,0.35,2,0,0,0,0.5289161801338196,1.107651948928833,18.68876838684082,0.5289161801338196,filtered,1.9890023528447106e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.34775679595552605,0.004920720122754574
57,2.9000000000000004,-0.029342416938384304,0.03689497336745262,0.13414883613586426,0.4950525462627411,0.03689496964216232,0.35,2,0,0,0,0.5390118360519409,1.3827033042907715,10.989246368408203,0.5390117168426514,filtered,7.750389888647165e-08,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3613806009761788,0.004842695780098438
58,2.95,-0.0019584951494388894,0.034525856375694275,0.1304374486207962,0.5087523460388184,0.03452584892511368,0.35,2,0,0,0,0.5361019372940063,1.4483026266098022,13.705971717834473,0.5361019372940063,passthrough,1.1911824575950958e-09,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.3750525213292601,0.004562984220683575
59,3.0,0.024028106939768958,0.032395973801612854,0.12552818655967712,0.5225645303726196,0.032395970076322556,0.35,2,0,0,0,0.5099683403968811,2.068779945373535,19.341604232788086,0.5099683403968811,passthrough,1.0940620533594432e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.38875230739580735,0.004558105021715164
60,3.0500000000000003,0.03920593876650212,0.030475102365016937,0.12001626938581467,0.536550760269165,0.030475104227662086,0.35,2,0,0,0,0.4903883635997772,2.6938042640686035,18.979629516601562,0.4903883635997772,passthrough,1.0207582467451582e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.4025644959485405,0.00459918100386858
61,3.1,0.051362997125807205,0.028687290847301483,0.11406238377094269,0.5512181520462036,0.028687287122011185,0.35,2,0,0,0,0.5118686556816101,3.315415859222412,22.085325241088867,0.5118686556816101,passthrough,1.0181992654512477e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.4165507598158392,0.0047983089461922646
62,3.1500000000000004,0.034307454970391046,0.027044307440519333,0.1092882975935936,0.5664871335029602,0.02704431116580963,0.35,2,0,0,0,0.5502005219459534,2.6342451572418213,17.299753189086914,0.5502005219459534,passthrough,9.98422063888275e-10,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.4312181158104117,0.0048194024711847305
63,3.2,-0.013607811002267494,0.025530818849802017,0.1073186919093132,0.5825105905532837,0.02553081512451172,0.35,2,0,0,0,0.5973484516143799,2.2255139350891113,22.045040130615234,0.5973484516143799,passthrough,1.0513865225464753e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.44648710376323064,0.004784570075571537
64,3.25,-0.07320009629079555,0.024158116430044174,0.1087009385228157,0.5991619825363159,0.024158118292689323,0.35,2,0,0,0,0.5882360935211182,2.301635980606079,38.015838623046875,0.5882360935211182,passthrough,1.0721846165099497e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.46251055219122883,0.002798796631395817
65,3.3000000000000003,-0.08969555463828278,0.022968770936131477,0.1109481155872345,0.6157312393188477,0.022968770936131477,0.35,2,0,0,0,0.5011305212974548,4.072625637054443,67.42572784423828,0.5011305212974548,passthrough,1.1193056043878376e-09,0,0,12,,workspace_x_upper,0,0,1,solved,osqp,0.0,valid,0.4791619549097609,0.0028637228533625603
66,3.35,-0.03437070225532943,0.02192182093858719,0.1101667508482933,0.6324892044067383,0.02192181907594204,0.35,2,0,0,0,0.44119179248809814,4.732885360717773,44.42506408691406,0.44173863530158997,filtered,0.04586543457649053,0,0,12,joint_1_acceleration_upper,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.49573125769936366,0.0028098924085497856
67,3.4000000000000004,0.02580331094689882,0.021000778302550316,0.10617280006408691,0.6494556069374084,0.021000778302550316,0.35,2,0,0,0,0.48551490902900696,5.041525363922119,39.52796936035156,0.49407458305358887,filtered,0.021702326138888565,0,0,12,joint_1_acceleration_upper,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.5124891645669137,0.002895697019994259
68,3.45,0.051552430760283166,0.020217273384332657,0.10085023194551468,0.6660556197166443,0.020217275246977806,0.35,2,0,0,0,0.5786910653114319,6.07863712310791,84.01654052734375,0.5787898898124695,filtered,0.004479381454120649,0,0,12,joint_4_acceleration_upper,workspace_y_upper,0,0,1,solved,osqp,0.0,valid,0.5294556051984717,0.003377329558134079
69,3.5,0.0146545790292344,0.01957545429468155,0.09773394465446472,0.6816045045852661,0.01957545429468155,0.35,2,0,0,0,0.6984866857528687,5.252894401550293,63.36577224731445,0.6984858512878418,filtered,1.1653636135848963e-06,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.5460555944364084,0.0034550298005342484
70,3.5500000000000003,-0.07245093840913178,0.019029879942536354,0.09955719113349915,0.6966173052787781,0.019029881805181503,0.35,2,0,0,0,0.7719970345497131,2.791689872741699,64.45984649658203,0.7719967365264893,filtered,4.2973532385775216e-07,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.5616045000896773,0.0030546048656105995
71,3.6,-0.16496560618233036,0.018547281622886658,0.10641930997371674,0.7116695046424866,0.01854727976024151,0.35,2,0,0,0,0.7970829606056213,1.5812854766845703,39.69043731689453,0.8099276423454285,filtered,0.022473405052858043,0,0,12,,workspace_z_lower,0,0,1,solved,osqp,1.1117918363723334e-07,valid,0.5766172822836865,0.004526467062532902
72,3.6500000000000004,-0.3061138676635493,0.13372133672237396,0.1145123764872551,0.7085639238357544,0.13063232600688934,0.35,2,0,0,0,0.747201681137085,2.216224193572998,51.956722259521484,0.8293487429618835,filtered,0.14988373297814997,0,1,12,workspace_z_lower,workspace_z_lower,0,0,1,solved,osqp,0.0,valid,0.5916694623398971,0.0045563653111457825
