episode,seed,seed_manifest,reward,cost,length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,collision_termination_mode,unavoidable_collision,avoidable_collision,collision_contact_link_indices,collision_contact_link_names,collision_min_contact_distance,non_end_link_collision,final_position_error,completion_time,min_distance,mean_risk,max_risk,safety_violation_count,safety_violation_rate,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,safety_filter_fallback_rate,safety_filter_qp_used_rate,safety_filter_qp_timeout_rate,safety_filter_compute_budget_stop_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,max_safety_filter_solve_time_s,mean_safety_filter_predictive_risk_time_s,mean_safety_filter_jacobian_workspace_time_s,mean_safety_filter_projection_time_s,mean_action_variation,rms_acceleration,rms_jerk,recovery_triggered,recovery_success,recovery_steps,recovery_duration_s,initially_unsafe,initial_predictive_h_m
43,9044,configs/experiments/reaching_recovery/manifests/v1_final.json,25.462785179716242,0.5191359147429466,12,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04515988007187843,0.6000000000000001,0.40899786353111267,0.04326132622857889,0.05991947278380394,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3713012145211299,3.5683319568634033,69.87566375732422,0,0,0,0.0,0,nan
44,9045,configs/experiments/reaching_recovery/manifests/v1_final.json,25.690066639842836,0.42564122192561626,10,1,0,0,0,0,0,,any,0,0,,,nan,0,0.054101623594760895,0.5,0.39785483479499817,0.04256412219256163,0.0642966479063034,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.4272671677172184,4.114326000213623,84.31024932861328,0,0,0,0.0,0,nan
45,9046,configs/experiments/reaching_recovery/manifests/v1_final.json,23.733089491223375,0.4242202565073967,11,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04850572347640991,0.55,0.4587891399860382,0.03856547786430879,0.044642601162195206,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.36173652654344385,3.305633068084717,68.3927230834961,0,0,0,0.0,0,nan
46,9047,configs/experiments/reaching_recovery/manifests/v1_final.json,24.504189267285525,0.7248061131685972,17,1,0,0,0,0,0,,any,0,0,,,nan,0,0.04941340163350105,0.8500000000000001,0.34263986349105835,0.04263565371579984,0.09313660860061646,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3828525416114751,3.578498601913452,72.22529602050781,0,0,0,0.0,0,nan
47,9048,configs/experiments/reaching_recovery/manifests/v1_final.json,20.579284993422796,2.714604899287224,8,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05078228563070297,0.4,0.2925093173980713,0.339325612410903,0.3957773745059967,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3532421011477709,3.50992488861084,80.58087158203125,0,0,0,0.0,0,nan
48,9049,configs/experiments/reaching_recovery/manifests/v1_final.json,23.615442863637,0.9583607204258442,19,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05246882513165474,0.9500000000000001,0.359906405210495,0.0504400379171497,0.08265655487775803,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3649571545814213,3.3566954135894775,57.662498474121094,0,0,0,0.0,0,nan
49,9050,configs/experiments/reaching_recovery/manifests/v1_final.json,-44.17903569850175,43.082090988755226,240,0,0,0,0,0,0,,any,0,0,,,nan,0,0.07634678483009338,12.0,0.2578970491886139,0.17950871245314678,0.3164425492286682,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2527275819641848,2.2791378498077393,88.46648406982422,0,0,0,0.0,0,nan
50,9051,configs/experiments/reaching_recovery/manifests/v1_final.json,23.33968166193203,0.4717751629650593,14,1,0,0,0,0,0,,any,0,0,,,nan,0,0.049079276621341705,0.7000000000000001,0.48724085092544556,0.033698225926075666,0.038371991366147995,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.3046924003532955,3.026221752166748,66.30693054199219,0,0,0,0.0,0,nan
51,9052,configs/experiments/reaching_recovery/manifests/v1_final.json,24.91064098206727,0.5634361431002617,16,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05292625352740288,0.8,0.3716970980167389,0.035214758943766356,0.07631907612085342,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.2524709035642445,2.6055819988250732,50.96739196777344,0,0,0,0.0,0,nan
52,9053,configs/experiments/reaching_recovery/manifests/v1_final.json,20.766199061090838,2.273852124810219,9,1,0,0,0,0,0,,any,0,0,,,nan,0,0.05071888864040375,0.45,0.36684831976890564,0.2526502360900243,0.2836759090423584,0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.37312566737333935,3.655778169631958,76.52944946289062,0,0,0,0.0,0,nan
