episode,step,reset_seed,reset_source,episode_reward,episode_cost,episode_length,success,collision,collision_any,collision_capsule_overlap,collision_pybullet_contact,termination_collision,termination_reason,safety_violation_rate,min_distance,mean_risk,safety_filter_intervention_rate,mean_safety_filter_intervention_norm,safety_filter_safe_stop_rate,safety_filter_infeasible_rate,safety_filter_projection_failure_rate,predictive_near_miss_rate,min_predictive_h_m,mean_safety_filter_solve_time_s,lambda,alpha
97,525117,1403259925,random,19.506970147878675,4.292602047324181,17,1,0,0,0,0,0,,0.0,0.319365531206131,0.25250600278377533,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
98,525130,367894643,random,24.189604774868307,1.5256233364343643,13,1,0,0,0,0,0,,0.0,0.21839648485183716,0.11735564126418187,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
99,525150,870002803,random,25.644299294293557,0.663454681634903,20,1,0,0,0,0,0,,0.0,0.422769695520401,0.03317273408174515,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
100,525179,302334412,random,23.05899458727218,1.8953295089304447,29,1,0,0,0,0,0,,0.0,0.25145524740219116,0.06535618996311879,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
101,525185,1714950731,random,24.080050104616035,0.6395690143108368,6,1,0,0,0,0,0,,0.0,0.6102262139320374,0.1065948357184728,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
102,525203,9145,focused,19.75945159986019,3.527925282716751,18,1,0,0,0,0,0,,0.0,0.2325115203857422,0.1959958490398195,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
103,525216,986056745,random,23.1964687292583,1.182870626449585,13,1,0,0,0,0,0,,0.0,0.31555408239364624,0.09099004818842961,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
104,525228,1768570148,random,23.196445933792752,1.3776187226176262,12,1,0,0,0,0,0,,0.0,0.2867301106452942,0.11480156021813552,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
105,525237,1522590196,random,24.22382697341191,0.5100842751562595,9,1,0,0,0,0,0,,0.0,0.4199122190475464,0.05667603057291773,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
106,525259,1813577047,random,16.079824148975746,5.495219431817532,22,1,0,0,0,0,0,,0.0,0.2992132008075714,0.24978270144625145,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
107,525272,1950671716,random,26.331678881208283,0.5103028118610382,13,1,0,0,0,0,0,,0.0,0.3733024299144745,0.03925406245084909,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
108,525279,1628733003,random,18.80296328817431,3.0198578536510468,7,1,0,0,0,0,0,,0.0,0.21003811061382294,0.4314082648072924,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
109,525298,1675425353,random,22.23167779677933,2.156337346881628,19,1,0,0,0,0,0,,0.0,0.2048952877521515,0.11349143930955936,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
110,525538,1861691285,random,-59.03747408619949,20.568661827594042,240,0,0,0,0,0,0,,0.0,0.34944018721580505,0.08570275761497517,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
111,525549,905383060,random,23.633138409020717,1.2505365163087845,11,1,0,0,0,0,0,,0.0,0.26824063062667847,0.11368513784625313,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
112,525559,1177907777,random,25.156172201798416,0.6078332588076591,10,1,0,0,0,0,0,,0.0,0.34216779470443726,0.06078332588076592,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
113,525583,9140,focused,15.144685052098515,5.413470536470413,24,1,0,0,0,0,0,,0.0,0.2338511347770691,0.22556127235293388,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
114,525664,9189,focused,19.433761518947303,3.2173439487814903,81,1,0,0,0,0,0,,0.0,0.3520829379558563,0.039720295663969014,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
115,525682,9059,focused,27.032548087196453,0.6339956875890493,18,1,0,0,0,0,0,,0.0,0.3586583733558655,0.035221982643836074,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
116,525746,9189,focused,21.728979634812266,2.499288436025381,64,1,0,0,0,0,0,,0.0,0.3518902063369751,0.03905138181289658,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
117,525876,9189,focused,15.172726041565657,5.077080123126507,130,1,0,0,0,0,0,,0.0,0.3519836366176605,0.03905446248558851,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
118,525893,1360943227,random,24.56707020705874,0.7543683797121048,17,1,0,0,0,0,0,,0.0,0.4014028012752533,0.04437461057130028,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
119,525922,329813273,random,21.987646931589165,1.6653665974736214,29,1,0,0,0,0,0,,0.0,0.2999619245529175,0.057426434395642115,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
120,525937,1501151074,random,24.602939737049272,1.2447705119848251,15,1,0,0,0,0,0,,0.0,0.2762451171875,0.08298470079898834,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
121,526177,1053570255,random,-165.84528020210158,56.696238573640585,240,0,0,0,0,0,0,,0.0,0.12283990532159805,0.2362343273901691,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
122,526399,9084,focused,-4.771451509689452,12.480479311197996,222,1,0,0,0,0,0,,0.0,0.42639636993408203,0.05621837527566665,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
123,526424,9034,focused,25.012348314374204,1.1096826829016209,25,1,0,0,0,0,0,,0.0,0.3616998791694641,0.044387307316064835,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
124,526442,9059,focused,26.906774525175216,0.6431134529411793,18,1,0,0,0,0,0,,0.0,0.3587881922721863,0.03572852516339885,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.01144375465810299
